店家名稱,緯度,經度,地址,潛水活動,評論
no excuse X the ride 小帳篷 背包客住宿,22.00961794,120.7425116,946屏東縣恆春鎮恆公路1012巷二弄7號,,66
南喃背包輕旅,21.99172957,120.7471052,946屏東縣恆春鎮恒南路29之2號,V,135
海島瘋３號店－薄荷小日子旅宿Days In Bohol,22.00113863,120.7400964,946屏東縣恆春鎮恆公路676號,V,192
貓魚小窩,21.99922369,120.7459094,946屏東縣恆春鎮環城南路135巷5號,V,39
恆茄-自由潛水背包客棧,22.03887515,120.7154011,946屏東縣恆春鎮茄苳路萬泉巷63號,,10
墾丁幫客青年旅館 Kenting Bunk Hostel,,,946屏東縣恆春鎮墾丁路247號,,67
水采田潛水酒吧民宿,21.99779368,120.7468114,946屏東縣恆春鎮福城街66號,V,20
騏艦藍海灣&潛水度假村,21.98774393,120.7370634,94646屏東縣恆春鎮龍泉路63號1樓,V,22
深度潛水Deep Dive Center,21.98189973,120.7290439,946屏東縣恆春鎮龍泉路246巷6號,V,284
TIAMAT® Diving Club × 苦水輕旅,21.95819405,120.7381062,94645屏東縣恆春鎮砂尾路26號,V,67
輕旅宿,22.46902021,120.4482722,928屏東縣東港鎮博愛街171-9號,,
留下旅舍/ The Way Hostel&Bar,22.46115877,120.4607014,928屏東縣東港鎮船頭路24-78號,,
深呼吸潛水渡假民宿 Azure Journey Dive & Villa,21.94574971,120.7388954,946屏東縣恆春鎮大光路120號-3號,V,320
台灣潛水墾丁店,21.94309189,120.7363595,946屏東縣恆春鎮大光路55-60號,V,2357
光合樂潛水度假中心,21.93630504,120.7345034,946屏東縣恆春鎮大光路138之36號,V,37
好好潛水 GOOD DIVE,21.94810092,120.7404743,946屏東縣恆春鎮大光路95號,V,276
新發文旅公園店,22.67696352,120.4923644,900屏東縣屏東市新發巷8號,,
車城背包客棧,22.07266079,120.7146447,944屏東縣車城鄉新興路十號,,
三鮫貓潛水,21.92861903,120.7327842,946006屏東縣恆春鎮下泉路47-2號,V,7
HDK旱鴨子自由潛水(HanDucK),21.94490758,120.7979983,946屏東縣恆春鎮墾丁路通海巷195號,V,442
Kenting Original Hostel 墾丁返璞歸真背包客棧 Backpacker,21.94492293,120.7980143,946屏東縣恆春鎮墾丁路通海巷195號,,
墾丁 My Home 青年旅館背包客棧,21.94470499,120.7981491,946屏東縣恆春鎮墾丁路通海巷21-2號,,
好心情-墾丁背包客棧（2館）,21.94605058,120.7947604,946屏東縣恆春鎮墾丁路324之2號,,
星空/太空艙旅店,21.9458002,120.796944, 946屏東縣恆春鎮墾丁路241號,,
The First 南灣青年旅館,21.95984014,120.7656155,946屏東縣恆春鎮南灣路114號,,
