,店家名,緯度,經度,地址,
澎湖,,,,,
,小琉球樂嶼日出民宿,22.32459997,120.3640274,929屏東縣琉球鄉忠孝路1巷13-5號,
,海明崴民宿,22.32447839,120.3638068,92942屏東縣琉球鄉忠孝路一巷1-16號,
,浪。境小琉球秘境民宿,22.3248356,120.3642879,929屏東縣琉球鄉忠孝路一巷2之11號,
,彩色屋民宿,22.32515316,120.3642705,929屏東縣琉球鄉南福村忠孝路一巷2之1號,
,小琉球歐若拉海景民宿,22.32909171,120.3545748,929屏東縣琉球鄉信義路51-1號,
,歡迎你民宿 WELCOME,22.32841802,120.3581703,92903屏東縣琉球鄉信義路9號,
,琉星小屋,22.32823442,120.358411,929屏東縣琉球鄉信義路3-7號,
,琉宿海景莊園,22.32895344,120.3563366,929屏東縣琉球鄉信義路39號,
,三姐民宿,22.32935926,120.356561,929屏東縣琉球鄉信義路18-2號,
,小琉球樂嶼海景民宿,22.34216983,120.3845961,92943屏東縣琉球鄉三民路1-61號,
,海洋風情渡假旅館,22.35339753,120.3821374,929屏東縣琉球鄉民生路73之1號,
,流浪背包客棧 Liuqiu Backpackers,22.34133914,120.3663091,929屏東縣琉球鄉上福村杉板路51巷34號, ✔
,小琉球雀巢背包客棧,22.35338987,120.381755,929屏東縣琉球鄉民生路87號,
,Sleep&go小琉球背包房,22.34600685,120.3739277,929屏東縣琉球鄉中興路289號2F,
, 漫慢旅宿,22.33825169,120.3747671,929屏東縣琉球鄉仁愛路34號, ✔
,暖琉背包客棧,22.33752562,120.3751129,929屏東縣琉球鄉仁愛路3-1號,
,居琉潛水背包客棧一館,22.34473109,120.3688026,929屏東縣琉球鄉中華路42-12號, ✔
,Slack BnB,22.34182723,120.3660978,929屏東縣琉球鄉衫板路51巷86號,
,琉Chill背包客棧,22.33807077,120.375222,929屏東縣琉球鄉仁愛路44之5號, ✔
,居琉潛水背包客棧二館,22.35249978,120.3826157,929屏東縣琉球鄉三民路283號, ✔
,小島，走走,22.34876314,120.3790331,929屏東縣琉球鄉中山路26-3號, ✔
,黑背包,22.34532999,120.3750167,929屏東縣琉球鄉相埔路16號,
,嶼海生活背包宿,22.35357147,120.3819783,92941屏東縣琉球鄉民生路87號2樓,
,LQ膠囊輕旅-LIUQIU,22.32948473,120.3590127,929屏東縣琉球鄉中正路1巷44號929,
,小琉球野原星之宿,22.34983227,120.3743467,929屏東縣琉球鄉復興路173號,
