,店家名,緯度,經度,地址,
澎湖,,,,,
,慢活角落民宿,23.5839019,119.5825264,880澎湖縣馬公市西 衛 223-3 號,
,野居渡假民宿,23.58371016,119.5826639,"No. 221-15號, 西衛, 馬公市澎湖縣880",
,我們的民宿,23.55754233,119.5937422,880澎湖縣馬公市石泉里11之2號,
,木艮私宅•Mugen Homestay,23.55295793,119.5897619,880澎湖縣馬公市586號,
,艾的驛站民宿,23.56708673,119.5848697,澎湖縣馬公市西文澳92-29號880,
,23.5蔚藍民宿,23.63731801,119.5350853,881澎湖縣西嶼鄉后螺3之2號,
,唯你渡假民宿,23.58365283,119.5826513,"221之12號, No. 14鄰, 西衛, 馬公市澎湖縣880",
,天邊海角民宿,23.57362922,119.5671507,880澎湖縣馬公市民族路119號,
,流浪鯨魚民宿,23.53054164,119.6046007,880澎湖縣馬公市鎖港里18號,
,PENGHU LUCAI B&B 旅采民宿,23.52341067,119.5902782,880澎湖縣馬公市1鄰雞母塢216號,
,旅朋友民宿Travelfriends,23.58300716,119.6084438,885澎湖縣湖西鄉號,
小琉球,,,,,
,琉浪潛水背包客棧Drift Diving Hostel,22.32495307,120.3644877,929屏東縣琉球鄉忠孝路一巷2-6號, ✔
,奧之海潛水旅宿 Odyssey Divers Hostel,22.32786016,120.3576314,929屏東縣琉球鄉中正路57號, ✔
,琉影潛水,22.33049756,120.3586706,929屏東縣琉球鄉中正路1巷90-2號, ✔
,琉浪潛水背包客棧Drift Diving Hostel,22.32495219,120.3644926,929屏東縣琉球鄉忠孝路一巷2-6號, ✔
,co_diving 自由潛水工作室,22.33476833,120.3718092,929屏東縣琉球鄉和平路3巷1-5號, ✔
,酷落潛水 Kuroshio Diving,22.3352976,120.3714012,929屏東縣琉球鄉和平路13-3號, ✔
,小琉球-小綠龜潛水,22.33596029,120.3713078,929屏東縣琉球鄉和平路32-5號, ✔
,EXTD diving center 延伸潛水,22.33752494,120.3673792,929屏東縣琉球鄉中興路33-360號, ✔
,白牌自由潛水中心,22.34277216,120.363438,929屏東縣琉球鄉肚仔坪路15之2號, ✔
,Dive Buddy 自由潛水工作室&背包客棧,22.34054099,120.371368,929屏東縣琉球鄉中正路188之6號, ✔
,蹼客基地,22.34502459,120.3863856,929屏東縣琉球鄉三民路39-1號前方, ✔
,阿貴潛水中心,22.3461279,120.3883345,929屏東縣琉球鄉環島公路40-1號, ✔
,O2潛水俱樂部,22.3472335,120.3850874,929屏東縣琉球鄉三民路151之9號, ✔
,琉潛貨櫃潛水旅宿 Liuqiu Dive,22.34799012,120.3852213,929屏東縣琉球鄉本漁路81巷20之2號, ✔
,大眾浮潛,22.35237684,120.3828201,929屏東縣琉球鄉三民路277號, ✔
,阿Ya潛棧 A Ya Diving Hostel,22.34670329,120.3689004,929屏東縣琉球鄉復興路99號, ✔
,老婆潛水工作室,22.34561647,120.3749307,929屏東縣琉球鄉相埔路18之3號, ✔
,秘密客潛水旅宿,22.34662052,120.3738511,929屏東縣琉球鄉相埔路50號之3, ✔
,流星打氣站,22.34686494,120.3715676,929屏東縣琉球鄉相埔路79號之9號, ✔
,熊潛水培訓中心,22.34702907,120.3712214,929屏東縣琉球鄉相埔路87號, ✔
,夏琉民宿 The Summerflow Hostel,22.32358851,120.3575335,929屏東縣琉球鄉中正路5-8號,
,杉橘青旅 • Hinoki-G Hostel,22.32402892,120.3576517,929屏東縣琉球鄉中正路6號,
,嶼浪民宿,22.32481303,120.3610659,929屏東縣琉球鄉忠孝路70之15號,
