店家名,統一編號,事件,說明,連結,類型,店家編號,背包客房編號,用品店編號
日日選品Daily.day,12254844,民事/刑事,"聲請清算程序,債務人異議之訴,履行契約等,更生事件,給付代收租金等,給付貨款,給付土地使用費等,偽造文書等,免責,侵占,清算,損害賠償,業務侵占",https://www.twincn.com/item.aspx?no=12254844,潛水用品店,null,null,28
台灣潛水企業有限公司,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店,151,null,null
蓬萊潛水,89417445,民事,"損害賠償,指定遺產管理人",https://www.twincn.com/item.aspx?no=89417445,潛店,161,null,null
羅浮潛水中心,85889317,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/4541816571,潛店,162,null,null
帶福新樂園潛水中心,53477550,民事/刑事,"支付命令,偽造文書,返還所有物等",https://www.twincn.com/item.aspx?no=53477550,潛店,202,null,null
藍灣潛水訓練中心,"	89248455",刑事,竊盜,https://www.lawsq.com/book/35487537536,潛店,9,null,null
台灣潛水Taipei ,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店,33,null,null
海底玩家潛水訓練中心,80013816,民事/刑事,"清償借款,聲請交付審判",https://www.twincn.com/item.aspx?no=80013816,潛店,40,null,null
國傑工程企業有限公司,776690,民事,"損害賠償,給付租金等,給付工程款",https://www.twincn.com/item.aspx?no=00776690,潛店,22,null,null
夢想家潛水,72840284,民事,確認僱傭關係存在,https://www.lawsq.com/book/45593082448,潛店,13,null,null
iDiving愛潛水,"	25122613",民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛店,43,null,null
1988潛水家,50788496,民事,返還課程費用,https://www.lawsq.com/book/46308090651,潛店,47,null,null
好野人休閒事業有限公司,24328547,民事,損害賠償,https://www.twincn.com/item.aspx?no=24328547,潛店,51,null,null
勝宏浮潛,36859842,刑事/民事,"違反廢棄物清理法,業務過失致死,損害賠償,更生事件,偽造有價證券,給付貨款,給付勞工保險費",https://www.twincn.com/item.aspx?no=36859842,潛店,84,null,null
綠島海灣會館,45060679,公懲,懲戒,https://www.lawsq.com/book/644225497,潛店,87,null,null
戀戀火燒島,62977211,刑事/民事,"損害賠償,詐欺",https://www.twincn.com/item.aspx?no=62977211,潛店,100,null,null
小琉球-小綠龜潛水,37677497,民事/刑事,"侵權行為損害賠償,請求侵權行為損害賠償,業務過失重傷害,分割共有物",https://www.twincn.com/item.aspx?no=37677497,潛店,286,null,null
小琉球 小丑魚浮潛,81357726,民事/刑事,"損害賠償,業務過失致死",https://www.twincn.com/item.aspx?no=81357726,潛店,301,null,null
大眾浮潛,21980418,刑事,業務侵占,https://www.twincn.com/item.aspx?no=21980418,潛店,312,null,null
